flux,mean,sd
T_AcOH,-1.06694417305302,0.05637706923984
T_Ala,-34.9231377532172,1.33841943514561
T_Arg,2.37612473955056,0.39154865519092
T_Asn,2.244594059837,0.19559993219156
T_Asp,2.04165625287316,0.1309422644795
T_Cit,-1.61192265000508,0.10914228746799
T_Cys2,0.33309884090508,0.06321875792292
T_FoOH,-7.75108642197359,0.18683563753976
T_Glc,161.157458637822,3.93190605754803
T_Glu,-0.33545109881454,0.41214493777445
T_Glx,18.2703708284414,1.95783229121315
T_Gln,7.07628952351313,1.01946137972201
T_Gly,-2.38944702538979,0.22014417813463
T_His,0.97358895578125,0.1519918861487
T_Ile,1.41094792392233,0.10929765704471
T_Lac,-291.211910108821,10.9280237835105
T_Leu,2.60626515904657,0.25286843045042
T_Lys,1.69002119557661,0.11956245903033
T_Met,0.86471197035504,0.05311864907222
T_Phe,1.14606330449258,0.08370323852441
T_Pro,1.92972495262987,0.15271657780929
T_Pgl,-3.99704909229774,0.16583830675853
T_Pyr,-2.83265481635336,0.17081753503628
T_Ser,2.47887594659168,0.36526952549759
T_Thr,1.58837483729017,0.17035362131809
T_Trp,0.32464466000819,0.0663007854322
T_Tyr,1.04949421933437,0.0731241877824
T_Val,2.17515542752728,0.13241667264916
T_Amm,-17.7866445974352,4.07602416232328
T_Prot,-32.8539187068207,4.63558134290772
T_Carb,-2.14232459392347,0.26861318784486
T_OA,-1.37199890457676,0.16514842447376
T_DNA,-0.31251586672715,0.03750947427048
T_RNA,-0.93079811932718,0.11091037369287
